jud,win,loss,1052-1,1052-2,judfile,1052-1-1,1052-1-2,1052-1-3,1052-1-4,1052-1-5,1052-1-6,1052-1-7,1052-1-8,1052-1-9,1052-1-10,1052-2-A,1052-2-B,1052-2-C,1052-2-D,1052-2-E,1052-2-F,1052-2-G
臺灣嘉義地方法院 100 年度 婚 字第 186 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 19 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 190 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 194 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 195 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 196 號民事判決,0,1,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 197 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 198 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 2 號民事判決,0,1,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 204 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 207 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 210 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 219 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 22 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 224 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 227 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 23 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 233 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 235 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 236 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 237 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 238 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 24 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 252 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 257 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 259 號民事判決,0,1,1,0,jud100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 26 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 27 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 276 號民事判決,1,0,1,1,jud100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 277 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 278 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 279 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 286 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 289 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 29 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 293 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 294 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 3 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 32 號民事判決,0,1,1,1,jud100,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 34 號民事判決,0,1,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 37 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 4 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 40 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 41 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 42 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 44 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 48 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 50 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 51 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 52 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 54 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 55 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 6 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 61 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 62 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 64 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 65 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 66 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 67 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 7 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 71 號民事判決,0,1,1,0,jud100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 73 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 75 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 76 號民事判決,1,0,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 77 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 8 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 81 號民事判決,1,0,1,0,jud100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 85 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 87 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 88 號民事判決,1,0,0,1,jud100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 9 號民事判決,0,1,1,0,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
臺灣嘉義地方法院 100 年度 婚 字第 92 號民事判決,1,0,1,1,jud100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
